,id,title,runtime,original_language,budget,release_date,revenue,vote_average,popularity
278,455043,God of War,130.0,zh,25000000,2017-05-27,0.0,5.0,4.85639
279,178341,Mandalay,65.0,en,0,1934-02-10,0.0,6.0,0.945843
280,35115,"Davy Crockett, King of the Wild Frontier",93.0,en,0,1955-05-25,0.0,5.9,5.497359
281,50759,An Autumn Afternoon,112.0,ja,0,1962-11-18,0.0,7.9,2.357072
282,33104,Don,166.0,hi,0,1978-04-20,0.0,6.0,0.734834
283,51144,Torment,101.0,sv,0,1944-10-02,0.0,6.9,2.228627
284,68351,Sankofa,124.0,en,1000000,1993-05-28,2691899.0,6.9,0.04586
285,16486,The Spirit of Christmas,4.0,en,0,1992-12-01,0.0,7.0,0.130903
286,20721,Code of Silence,101.0,en,0,1985-05-03,20345361.0,6.0,5.132151
287,313297,Kubo and the Two Strings,102.0,en,60000000,2016-08-18,69929545.0,7.7,12.321832
288,39210,Somewhere,98.0,en,8000000,2010-09-03,0.0,6.0,7.098301
289,218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81.0,en,28000000,2014-10-08,100654149.0,6.1,7.861004
290,80019,Larry Flynt: The Right to Be Left Alone,0.0,en,0,2007-01-01,0.0,5.0,0.076093
291,324269,For Grace,95.0,en,0,2015-03-13,0.0,7.5,0.253959
292,10609,The Life and Death of Peter Sellers,122.0,en,0,2004-05-21,0.0,6.6,3.701781
293,284293,Still Alice,99.0,en,5000000,2014-12-05,43884652.0,7.5,8.823253
294,103528,God is the Bigger Elvis,37.0,en,0,2012-04-01,0.0,7.0,0.151126
295,10610,The Medallion,88.0,en,41000000,2003-08-15,0.0,5.3,9.885859
296,36096,Lucifer Rising,29.0,en,0,1974-04-10,0.0,7.4,1.303516
297,18283,Brigadoon,108.0,en,0,1954-09-08,0.0,6.8,12.645217
298,56743,Elena Undone,111.0,en,0,2010-06-25,0.0,6.8,1.715955
299,39458,I Got Next,96.0,en,10000,2011-06-13,0.0,5.9,0.157802
300,312526,Alien Outpost,93.0,en,0,2014-09-19,0.0,4.6,4.904615
301,382591,Two Is a Family,118.0,fr,0,2016-12-07,1447740.0,7.6,17.181564
302,253263,The Immortalists,78.0,en,0,2014-03-08,0.0,5.4,1.046556
303,27923,Hopelessly Lost,93.0,en,0,1973-06-06,0.0,5.1,0.366869
304,43423,The Wind Will Carry Us,118.0,fa,0,1999-09-06,0.0,6.9,1.301513
305,150202,The Haunting in Connecticut 2: Ghosts of Georgia,101.0,en,0,2013-02-01,0.0,5.6,8.61296
306,43018,Gidget Goes Hawaiian,101.0,en,0,1961-06-02,0.0,4.6,0.207903
307,127259,New Year Sacrifice,100.0,zh,0,1956-01-01,0.0,5.0,0.054114
308,319092,The Russian Woodpecker,80.0,en,0,2015-01-31,0.0,6.5,0.681702
309,47638,The River Rat,94.0,en,0,1984-09-28,1142944.0,6.3,0.57743
310,257618,Ditirambo,103.0,es,0,1969-03-12,0.0,5.0,0.04329
311,126841,Jack Brown: Genius,0.0,en,0,1994-07-11,0.0,5.0,0.465965
312,48199,Woyzeck,93.0,en,0,1994-02-07,0.0,8.3,0.226192
313,59507,Four Lovers,103.0,fr,0,2010-09-15,0.0,4.9,1.919481
314,42168,Chapter Two,124.0,en,0,1979-12-14,0.0,7.5,0.706906
315,13,Forrest Gump,142.0,en,55000000,1994-07-06,677945399.0,8.2,48.307194
316,160704,The Berlin File,120.0,ko,9000000,2013-01-30,48965210.0,6.5,7.453745
317,99329,The Money Order,90.0,wo,0,1968-11-27,0.0,7.8,0.196975
318,200938,Intangible Asset Number 82,90.0,en,0,2008-06-12,0.0,1.0,0.079254
319,318914,The Grief of Others,103.0,en,0,2015-08-26,0.0,7.2,0.495947
320,14052,Revenge of the Nerds,90.0,en,0,1984-07-20,0.0,6.6,5.780761
321,99758,Swerve,83.0,en,0,2012-04-11,0.0,5.1,1.321924
322,128733,Hollywood,780.0,en,0,1980-02-09,0.0,8.0,0.055713
323,23999,Abigail's Party,101.0,en,0,1977-11-01,0.0,7.4,0.704172
324,14400,The Heir Apparent: Largo Winch,108.0,fr,25412760,2008-12-17,0.0,6.1,7.663624
325,24909,The Young Americans,103.0,en,0,1993-10-08,0.0,5.8,1.51734
326,16769,Coal Miner's Daughter,125.0,en,15000000,1980-03-07,67182787.0,7.2,2.847277
327,19823,Dolan's Cadillac,81.0,en,10000000,2009-10-23,0.0,5.6,3.481648
328,25944,Blood for Dracula,103.0,en,0,1974-08-13,0.0,5.8,1.825571
329,39844,Deranged,83.0,en,200000,1974-02-02,0.0,5.6,2.400628
330,48411,Love Exposure,100.0,ko,0,2007-10-18,0.0,3.0,0.03935
331,96090,Seeking Asian Female,80.0,en,0,2012-03-12,0.0,5.0,0.336686
332,43789,Andy Hardy's Private Secretary,101.0,en,0,1941-02-21,0.0,5.5,0.085842
333,43772,Secret Ballot,123.0,fa,0,2001-01-01,0.0,5.7,0.221421
334,34496,Storage,95.0,en,0,2009-09-10,0.0,6.6,0.346332
335,336805,Much Loved,108.0,fr,0,2015-09-16,0.0,6.0,3.319995
336,31378,Samurai III: Duel at Ganryu Island,105.0,ja,0,1956-01-03,0.0,7.4,2.62459
337,17047,Agent Cody Banks 2: Destination London,100.0,en,26000000,2004-06-24,28818995.0,5.2,12.59201
338,140071,Seize the Day,93.0,en,0,1986-09-09,0.0,5.8,1.916869
339,69579,My Dear Killer,96.0,en,0,1972-02-03,0.0,6.6,0.774628
340,241448,Village People,85.0,fi,1059300,2013-04-15,0.0,4.3,0.374601
341,10835,The Killer,110.0,cn,0,1989-07-06,0.0,7.6,8.019837
342,97437,Hum Kisi Se Kum Nahin,161.0,hi,0,2002-05-31,0.0,5.0,0.170922
343,28433,No Way Out,106.0,en,0,1950-08-16,0.0,6.3,4.665032
344,13008,An American Crime,97.0,en,2000000,2007-07-27,0.0,7.3,7.478007
345,56529,The Violent Kind,89.0,en,0,2010-01-25,0.0,5.3,1.45965
346,37432,Fab Five: The Texas Cheerleader Scandal,88.0,en,0,2008-08-02,0.0,5.1,1.66291
347,25087,Bloodsport II,90.0,en,0,1996-03-01,684351.0,5.2,3.085207
348,61320,Fimfárum Jana Wericha,100.0,cs,0,2002-11-28,0.0,4.8,0.297479
349,8927,Involuntary,98.0,sv,0,2008-11-28,0.0,6.9,1.347649
350,222848,Caged Heat 3000,85.0,en,0,1995-01-01,0.0,3.5,0.661558
351,20642,Double Wedding,87.0,en,0,1937-10-15,0.0,7.5,0.233653
352,28528,The Harder They Fall,109.0,en,0,1956-05-09,0.0,6.7,7.300676
353,24106,The Black Cat,65.0,en,0,1934-05-07,0.0,6.5,8.053913
354,43358,Carrie,118.0,en,0,1952-07-17,0.0,5.3,3.415808
355,25150,Awesome; I Fuckin' Shot That!,90.0,en,0,2006-03-31,0.0,7.1,0.220449
356,89463,Perry Mason: The Case of the Sinister Spirit,95.0,en,0,1987-05-24,0.0,6.5,0.00363
357,366564,Comment c'est Loin,90.0,fr,2023920,2015-12-09,0.0,7.2,4.72778
358,11959,UHF,97.0,en,5000000,1989-07-21,0.0,6.7,5.039273
359,252607,Junior,0.0,fr,8358460,2014-03-12,0.0,5.6,5.187128
360,46010,Old Men: Robbers,92.0,en,0,1971-01-01,0.0,6.7,0.127571
361,133463,Redd Inc.,93.0,en,500000,2012-11-03,1000000.0,5.5,5.411012
362,266647,Pan,111.0,en,150000000,2015-09-24,128388320.0,5.9,11.30428
363,1377,Houseboat,110.0,en,0,1958-11-19,0.0,6.8,2.266744
364,37708,Wild Things: Foursome,92.0,en,0,2010-06-01,0.0,5.1,1.932851
365,26283,The Las Vegas Story,88.0,en,0,1952-01-30,0.0,4.6,5.43144
366,365188,Homecoming,103.0,fi,0,2015-08-21,0.0,6.5,0.15518
367,199753,Tom and Jerry's Giant Adventure,66.0,en,0,2013-08-04,0.0,4.8,4.342685
368,136400,2 Guns,109.0,en,61000000,2013-08-02,131940411.0,6.6,13.336512
369,35402,Icarus,88.0,en,0,2010-02-09,0.0,5.4,2.342446
